date,home,away,g1_home,g1_away,g2_home,g2_away,g1_total,g2_total
2019-09-24,WSH,PHI,4.0,1.0,6.0,5.0,5.0,11.0
2019-09-28,CWS,DET,7.0,1.0,3.0,4.0,8.0,7.0
2020-07-28,CLE,CWS,4.0,3.0,5.0,3.0,7.0,8.0
2020-08-02,DET,CIN,3.0,4.0,0.0,4.0,7.0,4.0
2020-08-08,TB,NYY,4.0,8.0,5.0,3.0,12.0,8.0
2020-08-09,PHI,ATL,2.0,5.0,0.0,8.0,7.0,8.0
2020-08-15,CWS,STL,1.0,5.0,3.0,6.0,6.0,9.0
2020-08-15,MIN,KC,4.0,2.0,2.0,4.0,6.0,6.0
2020-08-16,TOR,TB,5.0,7.0,2.0,3.0,12.0,5.0
2020-08-19,KC,CIN,4.0,0.0,0.0,5.0,4.0,5.0
2020-08-20,TOR,PHI,3.0,2.0,9.0,8.0,5.0,17.0
2020-08-25,HOU,LAA,6.0,3.0,5.0,12.0,9.0,17.0
2020-08-26,ATL,NYY,5.0,1.0,2.0,1.0,6.0,3.0
2020-08-27,MIL,CIN,1.0,6.0,0.0,6.0,7.0,6.0
2020-08-27,SD,SEA,10.0,7.0,3.0,8.0,17.0,11.0
2020-08-27,SF,LAD,0.0,7.0,0.0,2.0,7.0,2.0
2020-08-27,STL,PIT,3.0,4.0,0.0,2.0,7.0,2.0
2020-08-29,CIN,CHC,0.0,3.0,6.0,5.0,3.0,11.0
2020-08-29,DET,MIN,8.0,2.0,4.0,2.0,10.0,6.0
2020-08-29,HOU,ATH,4.0,2.0,6.0,3.0,6.0,9.0
2020-09-04,ATL,WSH,7.0,1.0,9.0,10.0,8.0,19.0
2020-09-04,BAL,NYY,5.0,6.0,6.0,3.0,11.0,9.0
2020-09-08,PHI,BOS,6.0,5.0,2.0,5.0,11.0,7.0
2020-09-08,STL,MIN,3.0,7.0,6.0,4.0,10.0,10.0
2020-09-10,STL,DET,12.0,2.0,3.0,6.0,14.0,9.0
2020-09-11,MIA,PHI,0.0,11.0,5.0,3.0,11.0,8.0
2020-09-11,NYY,BAL,6.0,0.0,10.0,1.0,6.0,11.0
2020-09-12,TEX,ATH,5.0,2.0,1.0,10.0,7.0,11.0
2020-09-13,MIA,PHI,2.0,1.0,8.0,1.0,3.0,9.0
2020-09-13,SD,SF,6.0,0.0,3.0,1.0,6.0,4.0
