ticker,event_ticker,result,volume_fp,liquidity_dollars,close_time,previous_yes_ask_dollars
KXMLBGAME-26SEP052110WSHLAD-WSH,KXMLBGAME-26SEP052110WSHLAD,no,2439013.01,0.0000,2026-09-06T04:09:41Z,1.0000
KXMLBGAME-26SEP052110WSHLAD-LAD,KXMLBGAME-26SEP052110WSHLAD,yes,2920829.04,0.0000,2026-09-06T04:09:41Z,1.0000
KXMLBGAME-26SEP052010STLCOL-STL,KXMLBGAME-26SEP052010STLCOL,no,1079565.27,0.0000,2026-09-06T03:19:41Z,1.0000
KXMLBGAME-26SEP052010STLCOL-COL,KXMLBGAME-26SEP052010STLCOL,yes,893032.27,0.0000,2026-09-06T03:19:41Z,1.0000
KXMLBGAME-26SEP051905BOSBAL-BOS,KXMLBGAME-26SEP051905BOSBAL,yes,1322278.96,0.0000,2026-09-06T02:09:45Z,1.0000
KXMLBGAME-26SEP051905BOSBAL-BAL,KXMLBGAME-26SEP051905BOSBAL,no,829280.02,0.0000,2026-09-06T02:09:45Z,1.0000
KXMLBGAME-26SEP051915NYYSD-SD,KXMLBGAME-26SEP051915NYYSD,no,1300770.31,0.0000,2026-09-06T02:30:08Z,1.0000
KXMLBGAME-26SEP051915NYYSD-NYY,KXMLBGAME-26SEP051915NYYSD,yes,1330743.81,0.0000,2026-09-06T02:30:08Z,1.0000
KXMLBGAME-26SEP051905TBTEX-TEX,KXMLBGAME-26SEP051905TBTEX,no,859862.06,0.0000,2026-09-06T01:59:51Z,1.0000
KXMLBGAME-26SEP051905TBTEX-TB,KXMLBGAME-26SEP051905TBTEX,yes,809897.60,0.0000,2026-09-06T01:59:51Z,1.0000
KXMLBGAME-26SEP051910TORKC-TOR,KXMLBGAME-26SEP051910TORKC,yes,577568.74,0.0000,2026-09-06T01:49:43Z,1.0000
KXMLBGAME-26SEP051910TORKC-KC,KXMLBGAME-26SEP051910TORKC,no,380057.47,0.0000,2026-09-06T01:49:43Z,1.0000
KXMLBGAME-26SEP051910MINCWS-MIN,KXMLBGAME-26SEP051910MINCWS,yes,483801.98,0.0000,2026-09-06T01:59:51Z,1.0000
KXMLBGAME-26SEP051910MINCWS-CWS,KXMLBGAME-26SEP051910MINCWS,no,643465.05,0.0000,2026-09-06T01:59:51Z,1.0000
KXMLBGAME-26SEP051915AZHOU-HOU,KXMLBGAME-26SEP051915AZHOU,no,1036084.42,0.0000,2026-09-06T02:39:35Z,1.0000
KXMLBGAME-26SEP051915AZHOU-AZ,KXMLBGAME-26SEP051915AZHOU,yes,1568953.61,0.0000,2026-09-06T02:39:35Z,1.0000
